uid,gid,fpid,tname,drvn,obt,qtr,min,sec,yfog,plays,succ,rfd,pfd,ofd,ry,ra,py,pa,pc,peyf,peya,net,res
117840,5058,829263,GB,1,KOFF,1,1,59,25,3,0,0,0,0,0,1,-10,2,1,0,0,-10,PUNT
117841,5058,829267,CHI,1,PUNT,1,3,22,43,6,2,1,0,0,13,3,-6,3,0,5,0,12,PUNT
117842,5058,829275,GB,2,PUNT,1,1,46,12,3,0,0,0,0,0,1,-7,2,0,0,0,-7,PUNT
117843,5058,829279,CHI,2,PUNT,1,3,44,64,6,2,1,0,0,15,4,1,1,1,0,0,16,FG
117844,5058,829286,GB,3,KOFF,1,0,56,40,3,0,0,0,0,0,0,5,3,1,0,0,5,PUNT
117845,5058,829290,CHI,3,PUNT,1,3,30,4,7,2,1,0,1,8,3,11,4,2,6,0,25,PUNT
117846,5058,829299,GB,4,PUNT,2,1,35,26,4,4,0,3,0,0,0,74,4,4,0,0,74,TD
117847,5058,829305,CHI,4,KOFF,2,1,58,25,4,2,0,1,0,-2,1,36,3,2,0,0,34,PUNT
117848,5058,829310,GB,5,PUNT,2,5,45,4,8,5,0,2,0,4,3,18,5,4,0,0,22,PUNT
117849,5058,829319,CHI,5,PUNT,2,3,18,11,5,2,0,1,0,0,0,22,5,3,0,10,12,PUNT
117850,5058,829326,GB,6,PUNT,2,1,24,35,6,2,0,1,0,3,1,16,5,2,0,5,19,PUNT
117851,5058,829334,CHI,6,PUNT,2,0,28,15,3,0,0,0,0,0,0,0,3,2,0,0,0,PUNT
117852,5058,829338,GB,7,PUNT,2,0,15,33,2,1,0,1,0,0,0,16,2,1,0,0,16,ENDQ
117853,5058,829341,CHI,7,KOFF,3,1,18,25,3,0,0,0,0,0,1,2,2,1,0,0,2,PUNT
117854,5058,829345,GB,8,PUNT,3,2,51,34,4,0,0,0,1,3,1,-2,3,1,38,20,19,PUNT
117855,5058,829353,CHI,8,PUNT,3,1,50,10,3,1,0,0,0,9,2,0,1,0,0,0,9,PUNT
117856,5058,829357,GB,9,PUNT,3,2,31,42,3,0,0,0,0,0,1,-10,2,1,0,0,-10,PUNT
117857,5058,829361,CHI,9,PUNT,3,2,36,23,6,3,0,2,0,3,1,54,5,3,0,10,47,DWNS
117858,5058,829369,GB,10,DWNS,3,4,1,30,7,3,1,1,0,15,4,10,3,1,0,5,20,PUNT
117859,5058,829378,CHI,10,PUNT,4,3,5,13,6,2,0,2,0,0,0,38,6,3,15,30,23,PUNT
117860,5058,829388,GB,11,PUNT,4,6,33,6,10,3,0,2,1,17,6,56,3,2,5,5,73,FG
117861,5058,829401,CHI,11,KOFF,4,3,17,25,13,7,0,4,0,0,0,59,13,8,0,0,59,INT
117862,5058,829414,GB,12,INT,4,0,25,20,3,1,0,0,0,7,2,0,1,0,0,0,7,PUNT
117863,5058,829418,CHI,12,PUNT,4,0,31,14,4,0,0,0,0,0,0,-9,4,1,0,0,-9,DWNS
117864,5058,829422,GB,13,DWNS,4,1,2,95,2,0,0,0,0,-2,2,0,0,0,0,0,-2,ENDQ
117865,5059,829425,ATL,1,KOFF,1,2,7,25,3,0,0,0,0,16,2,-8,1,0,0,0,8,BLPU
117866,5059,829429,MIN,1,BLPU,1,1,3,79,2,2,0,1,0,0,0,31,2,2,0,10,21,TD
117867,5059,829434,ATL,2,KOFF,1,1,55,16,3,1,0,0,1,7,2,0,1,0,5,0,12,INT
117868,5059,829438,MIN,2,INT,1,1,33,59,4,2,2,0,0,40,2,1,2,1,0,0,41,TD
117869,5059,829444,ATL,3,KOFF,1,5,51,25,11,2,0,2,1,0,3,39,8,5,5,10,34,PUNT
117870,5059,829457,MIN,3,PUNT,1,5,9,8,7,3,2,0,0,30,6,6,1,1,0,10,24,PUNT
117871,5059,829466,ATL,4,PUNT,2,2,1,28,4,3,1,2,0,12,2,34,2,2,5,0,51,FUM
117872,5059,829471,MIN,4,FUM,2,5,41,21,10,5,3,1,2,50,8,9,2,1,25,0,79,TD
117873,5059,829486,ATL,5,KOFF,2,2,57,25,7,4,2,1,0,18,2,12,5,3,0,10,20,PUNT
117874,5059,829495,MIN,5,PUNT,2,1,6,10,3,0,0,0,0,0,3,0,0,0,0,0,0,PUNT
117875,5059,829499,ATL,6,PUNT,2,0,37,45,3,2,0,1,0,0,0,36,3,2,0,0,36,ENDQ
117876,5059,829503,MIN,6,KOFF,3,4,15,25,6,2,0,1,0,12,4,11,2,1,0,0,23,PUNT
117877,5059,829510,ATL,7,PUNT,3,7,37,15,13,7,1,2,2,11,5,40,8,6,31,0,82,INT
117878,5059,829525,MIN,7,INT,3,2,39,20,6,5,3,1,1,18,4,39,2,2,23,0,80,TD
117879,5059,829533,ATL,8,KOFF,3,0,29,23,3,0,0,0,0,0,0,0,3,0,0,0,0,PUNT
117880,5059,829537,MIN,8,PUNT,4,2,25,25,3,1,0,0,0,4,3,0,0,0,0,0,4,PUNT
117881,5059,829541,ATL,9,PUNT,4,3,16,34,9,4,1,3,0,9,1,57,7,6,0,0,66,TD
117882,5059,829551,MIN,9,KOFF,4,4,51,29,6,2,1,0,0,20,6,0,0,0,0,5,20,PUNT
117883,5059,829559,ATL,10,PUNT,4,3,24,29,13,8,0,4,2,0,0,62,12,9,14,5,71,TD
117884,5059,829576,MIN,10,KOFF,4,1,4,61,2,0,0,0,0,-2,2,0,0,0,0,0,-2,ENDQ
117885,5060,829579,BAL,1,KOFF,1,4,26,11,8,6,4,0,0,79,6,10,2,2,0,0,89,TD
117886,5060,829589,MIA,1,KOFF,1,1,48,21,4,2,0,1,0,4,1,12,3,1,0,0,16,INT
117887,5060,829593,BAL,2,INT,1,0,9,53,1,1,0,1,0,0,0,47,1,1,0,0,47,TD
117888,5060,829596,MIA,2,KOFF,1,2,51,25,5,1,0,1,0,-7,2,14,3,2,0,0,7,PUNT
117889,5060,829602,BAL,3,PUNT,1,1,29,10,3,2,0,1,0,7,2,83,1,1,0,0,90,TD
117890,5060,829607,MIA,3,KOFF,1,2,5,15,5,2,0,1,0,-3,1,31,4,2,0,0,28,PUNT
117891,5060,829613,BAL,4,PUNT,1,3,23,20,7,5,0,3,0,14,4,56,3,3,10,0,80,TD
117892,5060,829623,MIA,4,KOFF,2,3,11,25,6,1,0,1,0,-2,2,46,3,2,0,5,39,FG
117893,5060,829631,BAL,5,KOFF,2,2,14,25,3,1,0,0,0,10,2,-1,1,0,0,0,9,PUNT
117894,5060,829635,BAL,6,PUNT,2,1,34,90,3,1,0,1,0,2,1,8,2,2,0,0,10,TD
117895,5060,829640,MIA,5,KOFF,2,2,31,10,5,2,1,0,0,17,3,0,2,0,0,0,17,PUNT
117896,5060,829646,BAL,7,PUNT,2,2,37,21,7,2,2,0,0,69,5,6,2,1,4,0,79,TD
117897,5060,829656,MIA,6,KOFF,2,1,29,25,8,5,0,4,0,0,0,60,8,5,15,0,75,TD
117898,5060,829666,BAL,8,KOFF,2,0,13,25,1,0,0,0,0,-1,1,0,0,0,0,0,-1,ENDQ
117899,5060,829668,MIA,7,KOFF,3,1,58,25,4,2,0,1,0,5,1,5,3,1,0,5,5,PUNT
117900,5060,829674,BAL,9,PUNT,3,5,8,29,9,7,0,4,0,6,3,70,6,5,5,10,71,TD
117901,5060,829687,MIA,8,KOFF,3,2,7,25,6,1,0,1,0,6,1,12,5,1,0,10,8,PUNT
117902,5060,829695,BAL,10,PUNT,3,5,25,16,9,4,1,2,1,19,5,44,3,2,15,10,68,FG
117903,5060,829706,MIA,9,KOFF,3,0,28,25,2,1,0,0,0,0,0,5,2,1,0,0,5,INT
117904,5060,829708,BAL,11,INT,4,5,30,58,9,7,2,2,0,28,7,14,2,2,0,0,42,TD
117905,5060,829719,MIA,10,KOFF,4,1,25,30,3,0,0,0,0,1,1,-6,2,0,0,0,-5,PUNT
117906,5060,829723,BAL,12,PUNT,4,7,59,21,14,11,2,3,0,32,10,41,4,4,0,0,73,ENDQ
117907,5061,829738,BUF,1,KOFF,1,2,56,25,7,5,0,3,0,0,0,32,7,5,5,0,37,FUM
117908,5061,829746,NYJ,1,FUM,1,1,22,38,3,1,0,0,1,5,1,1,2,1,0,0,6,PUNT
117909,5061,829750,BUF,2,PUNT,1,0,8,12,1,0,0,0,0,0,0,0,1,0,0,0,0,INT
117910,5061,829753,BUF,3,KOFF,1,4,22,25,9,5,1,1,0,19,4,21,5,3,15,20,50,PUNT
117911,5061,829764,NYJ,2,PUNT,1,5,23,5,7,4,0,2,0,18,4,15,3,2,0,12,18,PUNT
117912,5061,829774,BUF,4,PUNT,1,1,44,33,3,0,0,0,0,1,1,1,2,1,5,0,7,PUNT
117913,5061,829779,NYJ,3,PUNT,2,5,14,20,11,5,1,3,0,9,3,29,8,4,0,0,38,PUNT
117914,5061,829791,BUF,5,PUNT,2,5,0,5,9,6,1,2,0,19,5,45,4,3,0,5,59,DWNS
117915,5061,829801,NYJ,4,DWNS,2,1,18,37,3,1,0,0,0,6,2,0,1,0,0,0,6,PUNT
117916,5061,829805,BUF,6,PUNT,2,1,33,18,5,2,0,1,0,0,0,30,5,3,0,0,30,INT
117917,5061,829810,NYJ,5,INT,2,0,34,52,5,1,0,1,0,0,0,21,4,2,0,0,21,MFG
117918,5061,829815,BUF,7,MFG,2,0,26,35,1,0,0,0,0,-1,1,0,0,0,0,0,-1,ENDQ
117919,5061,829817,NYJ,6,KOFF,3,2,59,25,7,3,0,2,0,6,1,9,6,3,5,0,20,PUNT
117920,5061,829826,BUF,8,PUNT,3,0,9,2,1,0,0,0,0,-2,1,0,0,0,0,0,-2,SAF
117921,5061,829828,NYJ,7,KOFF,3,4,51,40,10,8,1,3,1,14,4,41,5,5,15,10,60,TD
117922,5061,829840,BUF,9,KOFF,3,3,13,25,9,2,1,1,1,19,4,11,4,1,20,0,50,FG
117923,5061,829851,NYJ,8,KOFF,3,3,54,25,6,2,0,1,0,6,3,13,3,3,0,0,19,PUNT
117924,5061,829858,BUF,10,PUNT,4,4,33,15,8,8,4,1,0,60,5,25,3,3,0,0,85,TD
117925,5061,829868,NYJ,9,KOFF,4,4,26,25,6,1,0,1,0,3,2,16,4,4,0,0,19,PUNT
117926,5061,829875,BUF,11,PUNT,4,2,55,20,8,5,1,2,0,8,1,77,7,5,0,5,80,TD
117927,5061,829886,NYJ,10,KOFF,4,1,48,25,8,3,1,0,0,1,1,9,7,2,5,0,15,DWNS
117928,5061,829895,BUF,12,DWNS,4,1,0,60,3,0,0,0,0,5,3,0,0,0,0,0,5,PUNT
117929,5061,829899,NYJ,11,PUNT,4,0,12,20,2,1,0,1,0,0,0,13,2,2,0,0,13,ENDQ
117930,5062,829902,KC,1,KOFF,1,1,36,25,3,2,0,1,0,-1,1,76,2,2,0,0,75,TD
117931,5062,829907,JAC,1,KOFF,1,1,40,25,3,1,0,0,0,-1,1,7,2,1,0,0,6,PUNT
117932,5062,829911,KC,2,PUNT,1,2,47,21,6,3,0,2,0,5,1,65,4,3,0,0,70,FG
117933,5062,829918,JAC,2,KOFF,1,3,34,25,7,3,0,3,0,2,1,68,6,4,15,10,75,TD
117934,5062,829928,KC,3,KOFF,1,2,47,20,5,4,1,2,0,15,2,70,3,3,0,5,80,TD
117935,5062,829936,JAC,3,KOFF,1,6,0,25,9,4,1,2,0,23,4,43,4,4,0,10,56,FG
117936,5062,829947,KC,4,KOFF,2,3,40,25,7,2,0,2,0,5,2,63,4,3,0,0,68,FG
117937,5062,829956,JAC,4,KOFF,2,3,34,25,5,1,0,1,0,6,1,74,3,3,0,10,70,FG
117938,5062,829963,KC,5,KOFF,2,3,58,25,10,6,1,2,0,8,2,39,7,5,0,0,47,FG
117939,5062,829975,JAC,5,KOFF,2,0,24,25,2,1,0,0,0,0,0,11,2,2,0,10,1,ENDQ
117940,5062,829979,JAC,6,KOFF,3,6,10,25,9,5,1,1,0,29,5,20,4,4,0,0,49,FUM
117941,5062,829989,KC,6,FUM,3,6,25,40,12,7,3,2,2,6,5,43,7,5,11,0,60,TD
117942,5062,830005,JAC,7,KOFF,3,2,10,22,3,0,0,0,0,10,1,-3,2,0,0,10,-3,PUNT
117943,5062,830010,KC,7,PUNT,3,4,19,33,8,6,2,2,0,38,4,19,4,3,10,0,67,TD
117944,5062,830022,JAC,8,KOFF,4,3,29,21,8,6,1,3,0,12,3,67,4,4,0,0,79,TD
117945,5062,830031,KC,8,KOFF,4,2,2,54,4,0,0,0,0,2,2,3,2,1,0,10,-5,PUNT
117946,5062,830036,JAC,9,PUNT,4,0,11,20,1,0,0,0,0,0,0,0,1,0,0,0,0,INT
117947,5062,830037,KC,9,INT,4,1,41,88,4,1,0,0,0,5,2,0,1,0,0,10,-5,FG
117948,5062,830043,JAC,10,KOFF,4,1,38,25,6,4,0,3,1,0,0,60,6,5,15,0,75,TD
117949,5062,830052,KC,10,KOFF,4,1,55,53,5,4,2,0,0,30,5,0,0,0,0,0,30,ENDQ
117950,5063,830058,CAR,1,KOFF,1,3,26,25,6,4,1,1,0,22,2,23,4,3,0,0,45,FUM
117951,5063,830064,LA,1,FUM,1,3,52,33,8,4,0,2,1,0,0,25,8,5,0,0,25,PUNT
117952,5063,830074,CAR,2,PUNT,1,2,11,35,3,0,0,0,0,3,1,5,2,2,0,0,8,PUNT
117953,5063,830078,LA,2,PUNT,1,0,54,20,3,0,0,0,0,0,1,0,2,0,0,0,0,PUNT
117954,5063,830082,CAR,3,PUNT,1,3,56,25,9,4,1,2,0,14,4,31,4,2,0,5,40,MFG
117955,5063,830092,LA,3,MFG,1,1,58,43,7,2,0,1,0,4,3,22,3,1,0,0,26,FG
117956,5063,830100,CAR,4,KOFF,2,0,36,25,1,0,0,0,0,-5,1,0,0,0,0,10,-15,FUM
117957,5063,830102,LA,4,FUM,2,0,23,90,2,2,1,0,1,10,2,0,0,0,0,0,10,TD
117958,5063,830106,CAR,5,KOFF,2,3,12,32,4,1,1,0,0,13,2,-1,2,1,0,5,12,PUNT
117959,5063,830112,LA,5,PUNT,2,3,18,3,6,3,0,1,0,0,2,18,4,3,0,0,18,PUNT
117960,5063,830119,CAR,6,PUNT,2,1,18,27,3,0,0,0,0,1,1,5,2,1,0,0,6,PUNT
117961,5063,830123,LA,6,PUNT,2,3,54,29,9,2,1,1,0,22,4,11,4,2,0,0,33,FG
117962,5063,830133,CAR,7,KOFF,2,1,2,25,8,5,0,3,0,12,1,35,6,4,0,0,47,FG
117963,5063,830142,LA,7,KOFF,3,3,7,25,7,4,1,2,0,25,1,51,5,3,0,10,66,FG
117964,5063,830151,CAR,8,KOFF,3,3,25,40,8,5,1,3,0,18,4,42,4,3,0,0,60,TD
117965,5063,830161,LA,8,KOFF,3,5,37,25,13,9,2,3,1,24,6,30,7,5,21,0,75,TD
117966,5063,830178,CAR,9,KOFF,3,2,40,30,8,3,0,2,0,2,1,34,6,3,0,0,36,FG
117967,5063,830188,LA,9,KOFF,3,1,33,25,3,1,0,0,0,0,1,6,2,1,5,10,-2,BLPU
117968,5063,830194,CAR,10,BLPU,4,0,28,95,2,2,1,0,0,5,2,0,0,0,0,0,5,TD
117969,5063,830198,LA,10,KOFF,4,1,8,25,3,2,1,0,0,26,2,0,1,0,0,0,26,INT
117970,5063,830201,CAR,11,INT,4,1,31,29,3,0,0,0,0,0,1,4,2,1,0,0,4,PUNT
117971,5063,830205,LA,11,PUNT,4,3,54,43,7,6,2,2,0,41,5,16,2,2,0,0,57,TD
117972,5063,830214,CAR,12,KOFF,4,0,51,25,3,1,0,1,0,0,0,11,3,2,15,0,11,INT
117973,5063,830217,LA,12,INT,4,1,40,68,4,1,0,0,0,5,1,4,2,1,0,0,9,MFG
117974,5063,830221,CAR,13,MFG,4,2,9,31,9,6,3,1,0,42,3,27,6,3,0,0,69,TD
117975,5063,830232,LA,13,KOFF,4,1,57,50,4,2,1,0,0,9,4,0,0,0,0,0,9,ENDQ
117976,5064,830237,CLE,1,KOFF,1,4,49,27,8,6,3,3,0,24,3,64,5,4,0,15,73,TD
117977,5064,830248,TEN,1,KOFF,1,3,39,8,7,2,0,2,0,-1,2,59,4,3,15,0,73,FG
117978,5064,830256,CLE,2,KOFF,1,3,3,11,4,1,0,0,1,-3,1,-7,3,1,5,0,-5,PUNT
117979,5064,830262,TEN,2,PUNT,1,1,12,45,3,0,0,0,0,7,2,0,1,0,0,5,2,PUNT
117980,5064,830267,CLE,3,PUNT,1,2,28,7,5,1,0,1,0,6,2,22,3,2,0,0,28,PUNT
117981,5064,830273,TEN,3,PUNT,2,5,10,13,11,6,2,1,3,31,7,16,4,1,40,0,87,TD
117982,5064,830290,CLE,4,KOFF,2,1,12,30,3,1,0,0,0,9,1,0,2,0,0,0,9,PUNT
117983,5064,830294,TEN,4,PUNT,2,3,24,15,7,4,1,1,0,26,2,3,5,2,0,0,29,PUNT
117984,5064,830302,CLE,5,PUNT,2,1,33,28,3,0,0,0,0,2,1,10,2,1,0,15,-3,PUNT
117985,5064,830306,TEN,5,PUNT,2,1,43,28,3,0,0,0,0,-1,1,0,2,1,0,0,-1,PUNT
117986,5064,830310,CLE,6,PUNT,2,0,5,3,1,0,0,0,0,0,0,-2,1,0,0,1,-3,SAF
117987,5064,830313,TEN,6,KOFF,2,0,45,41,4,1,0,1,0,0,0,11,4,1,0,0,11,PUNT
117988,5064,830318,CLE,7,PUNT,2,0,57,13,6,3,0,2,0,0,0,42,6,4,0,10,32,ENDQ
117989,5064,830326,TEN,7,KOFF,3,3,7,21,5,1,0,1,0,2,1,42,3,2,0,0,44,FG
117990,5064,830332,CLE,8,KOFF,3,3,30,25,5,2,1,1,0,18,2,22,3,3,0,10,30,PUNT
117991,5064,830339,TEN,8,PUNT,3,2,31,6,3,1,0,0,0,8,2,-2,1,1,0,5,6,PUNT
117992,5064,830344,CLE,9,PUNT,3,3,42,39,6,4,0,3,0,2,1,74,5,5,0,15,61,TD
117993,5064,830354,TEN,9,KOFF,3,0,13,25,1,1,0,1,0,0,0,75,1,1,0,0,75,TD
117994,5064,830357,CLE,10,KOFF,3,2,46,25,6,3,0,2,0,16,3,14,3,2,0,10,20,INT
117995,5064,830364,TEN,10,INT,4,1,39,65,4,3,1,1,0,19,3,11,1,1,5,0,35,TD
117996,5064,830370,CLE,11,KOFF,4,1,15,25,3,1,0,0,0,6,1,0,2,1,0,0,6,INT
117997,5064,830373,TEN,11,INT,4,2,14,66,4,4,2,1,0,27,3,7,1,1,0,0,34,TD
117998,5064,830379,CLE,12,KOFF,4,3,27,28,8,2,0,1,1,13,1,5,7,2,16,10,24,DWNS
117999,5064,830389,TEN,12,DWNS,4,2,25,48,4,1,0,0,0,7,3,-6,1,0,0,15,-14,PUNT
118000,5064,830394,CLE,13,PUNT,4,0,9,30,1,0,0,0,0,0,0,0,1,0,0,0,0,INT
118001,5064,830397,CLE,14,KOFF,4,1,46,25,4,0,0,0,0,9,4,0,0,0,0,0,9,DWNS
118002,5064,830401,TEN,13,DWNS,4,1,16,66,2,0,0,0,0,-2,2,0,0,0,0,0,-2,ENDQ
118003,5065,830404,WAS,1,KOFF,1,4,6,20,7,5,0,3,0,9,3,71,4,4,0,0,80,TD
118004,5065,830413,PHI,1,KOFF,1,2,11,25,5,2,0,1,0,8,2,11,3,1,0,15,4,PUNT
118005,5065,830419,WAS,2,PUNT,1,5,55,20,11,5,0,3,0,6,3,61,7,5,0,10,57,FG
118006,5065,830432,PHI,2,KOFF,1,6,59,25,12,7,2,1,0,16,5,25,7,6,5,0,46,DWNS
118007,5065,830445,WAS,3,DWNS,2,0,52,29,2,1,0,1,0,2,1,69,1,1,0,0,71,TD
118008,5065,830449,PHI,3,KOFF,2,1,55,25,3,1,0,0,0,-2,1,9,2,2,0,0,7,PUNT
118009,5065,830453,WAS,4,PUNT,2,2,15,14,3,0,0,0,0,5,1,5,2,1,0,7,3,PUNT
118010,5065,830458,PHI,4,PUNT,2,1,28,38,5,2,0,2,0,0,1,62,4,2,0,0,62,TD
118011,5065,830465,WAS,5,KOFF,2,1,52,25,3,1,0,0,0,9,2,0,1,0,0,0,9,PUNT
118012,5065,830470,PHI,5,PUNT,2,0,46,18,3,0,0,0,0,0,0,5,3,1,0,0,5,PUNT
118013,5065,830474,WAS,6,PUNT,2,1,41,29,9,4,0,2,0,0,0,41,8,5,5,5,41,FG
118014,5065,830486,PHI,6,KOFF,3,7,10,25,12,7,4,2,0,53,9,22,3,3,0,0,75,TD
118015,5065,830500,WAS,7,KOFF,3,2,28,25,3,0,0,0,0,-5,2,11,1,1,0,5,1,PUNT
118016,5065,830505,PHI,7,PUNT,3,0,15,47,3,1,0,1,0,0,0,53,3,1,0,0,53,TD
