uid,gid,fpid,tname,drvn,obt,qtr,min,sec,yfog,plays,succ,rfd,pfd,ofd,ry,ra,py,pa,pc,peyf,peya,net,res
118017,5065,830510,WAS,8,KOFF,3,0,30,27,3,0,0,0,0,0,0,0,3,0,0,0,0,PUNT
118018,5065,830514,PHI,8,PUNT,3,4,42,29,10,8,1,3,0,8,4,63,5,5,0,0,71,TD
118019,5065,830525,WAS,9,KOFF,4,2,50,21,4,2,0,0,0,2,1,22,3,3,0,20,4,PUNT
118020,5065,830531,PHI,9,PUNT,4,8,55,22,19,12,2,3,0,41,8,63,10,7,0,30,74,FG
118021,5065,830553,WAS,10,KOFF,4,3,5,25,16,8,0,6,0,0,0,90,16,10,4,20,75,TD
118022,5065,830573,PHI,10,KOFF,4,0,5,60,1,0,0,0,0,-1,1,0,0,0,0,0,-1,ENDQ
118023,5066,830575,CIN,1,KOFF,1,3,9,25,7,2,0,2,0,0,0,24,7,4,0,0,24,PUNT
118024,5066,830583,SEA,1,PUNT,1,1,25,20,3,0,0,0,0,1,1,6,2,1,0,0,7,PUNT
118025,5066,830587,CIN,2,PUNT,1,7,38,28,13,6,0,3,1,4,3,57,9,6,5,15,51,FG
118026,5066,830604,SEA,2,KOFF,1,2,8,25,3,0,0,0,0,8,2,-10,1,0,0,0,-2,PUNT
118027,5066,830608,SEA,3,PUNT,1,2,30,57,5,2,1,0,0,3,1,-4,4,2,0,5,-1,PUNT
118028,5066,830615,CIN,3,PUNT,2,1,58,11,3,1,0,0,0,0,0,4,3,1,0,5,-1,PUNT
118029,5066,830620,SEA,4,PUNT,2,4,36,52,7,6,2,2,0,21,5,28,2,2,4,5,48,TD
118030,5066,830631,CIN,4,KOFF,2,1,24,25,3,3,0,2,0,0,0,75,3,3,0,0,75,TD
118031,5066,830636,SEA,5,KOFF,2,1,37,25,3,0,0,0,0,5,2,0,1,0,0,0,5,PUNT
118032,5066,830640,CIN,5,PUNT,2,1,42,30,3,1,0,0,0,5,2,4,1,1,0,0,9,PUNT
118033,5066,830644,SEA,6,PUNT,2,1,1,23,6,3,0,3,1,3,1,59,5,3,15,0,77,TD
118034,5066,830652,CIN,6,KOFF,2,0,45,25,4,2,0,2,0,0,0,75,4,3,0,0,75,TD
118035,5066,830658,SEA,7,KOFF,2,0,7,25,1,0,0,0,0,-1,1,0,0,0,0,0,-1,ENDQ
118036,5066,830660,SEA,8,KOFF,3,0,12,25,1,0,0,0,0,0,0,11,1,1,0,0,11,FUM
118037,5066,830661,CIN,7,FUM,3,1,25,72,3,1,0,1,1,1,1,8,2,1,0,0,9,FUM
118038,5066,830664,SEA,9,FUM,3,1,39,24,3,0,0,0,1,-7,2,2,1,1,0,0,-5,PUNT
118039,5066,830668,CIN,8,PUNT,3,4,7,30,7,1,0,1,0,8,5,35,1,1,0,0,43,MFG
118040,5066,830675,SEA,10,MFG,3,2,7,35,3,0,0,0,0,0,0,-5,3,1,0,0,-5,PUNT
118041,5066,830679,CIN,9,PUNT,3,3,29,8,9,4,1,2,0,11,2,45,7,4,0,0,56,DWNS
118042,5066,830688,SEA,11,DWNS,3,2,8,36,4,3,0,2,0,5,2,69,2,2,0,10,64,TD
118043,5066,830695,CIN,10,KOFF,4,7,53,25,13,5,0,4,1,5,1,47,11,7,25,10,67,FG
118044,5066,830713,SEA,12,KOFF,4,1,30,25,3,0,0,0,0,1,1,5,2,1,0,0,6,PUNT
118045,5066,830717,CIN,11,PUNT,4,2,8,29,6,2,0,1,0,0,0,15,6,3,0,0,15,PUNT
118046,5066,830724,SEA,13,PUNT,4,3,1,6,6,3,1,0,0,34,6,0,0,0,0,5,29,PUNT
118047,5066,830732,CIN,12,PUNT,4,0,12,25,2,1,0,0,0,0,0,6,2,1,0,0,6,FUM
118048,5066,830734,SEA,14,FUM,4,0,9,56,1,0,0,0,1,-1,1,0,0,0,0,0,-1,ENDQ
118049,5067,830736,LAC,1,KOFF,1,2,15,39,3,0,0,0,0,2,1,-4,2,1,0,0,-2,PUNT
118050,5067,830740,IND,1,PUNT,1,3,35,14,5,1,0,1,0,1,2,4,3,2,0,0,5,PUNT
118051,5067,830746,LAC,2,PUNT,1,6,15,32,11,7,3,1,0,41,5,25,6,5,2,0,68,TD
118052,5067,830760,IND,2,KOFF,1,7,53,25,14,10,3,2,0,27,7,48,7,6,0,0,75,TD
118053,5067,830776,LAC,3,KOFF,2,4,4,25,6,5,0,4,0,5,1,75,5,4,0,5,75,TD
118054,5067,830785,IND,3,KOFF,2,1,39,25,3,0,0,0,0,2,2,0,1,0,0,0,1,PUNT
118055,5067,830789,LAC,4,PUNT,2,3,17,54,10,3,1,1,0,12,3,12,6,1,0,0,24,FG
118056,5067,830800,IND,4,KOFF,2,1,2,21,5,3,0,3,0,0,0,51,4,4,0,0,51,MFG
118057,5067,830806,IND,5,KOFF,3,3,45,25,8,4,3,0,0,49,6,0,1,0,0,0,49,FG
118058,5067,830815,LAC,5,KOFF,3,2,48,25,4,2,0,2,0,0,1,70,3,3,5,0,75,TD
118059,5067,830822,IND,6,KOFF,3,0,47,25,2,2,1,1,0,63,1,12,1,1,0,0,75,TD
118060,5067,830826,LAC,6,KOFF,3,3,36,25,5,1,1,0,0,22,2,-5,3,1,0,0,17,PUNT
118061,5067,830832,IND,7,PUNT,3,3,29,10,5,2,1,0,0,5,1,18,4,3,0,0,23,PUNT
118062,5067,830838,IND,8,PUNT,3,2,7,73,7,2,1,0,0,15,3,1,3,1,0,0,16,MFG
118063,5067,830845,LAC,7,MFG,4,4,58,20,8,5,0,3,0,3,2,80,6,4,0,10,73,INT
118064,5067,830854,IND,9,INT,4,7,52,20,17,12,4,2,0,41,11,39,5,4,0,0,80,TD
118065,5067,830872,LAC,8,KOFF,4,0,38,25,5,3,0,1,0,6,1,16,4,3,3,5,20,ENDQ
118066,5067,830880,LAC,9,KOFF,5,5,30,25,8,6,3,2,0,34,5,41,3,3,0,0,75,TD
118067,5068,830889,DET,1,KOFF,1,3,0,25,5,3,1,0,0,9,3,15,2,2,0,0,24,PUNT
118068,5068,830895,ARI,1,PUNT,1,1,41,10,3,0,0,0,0,4,1,6,2,1,0,5,5,PUNT
118069,5068,830900,DET,2,PUNT,1,1,29,27,4,2,0,1,0,4,1,28,3,1,0,0,32,PUNT
118070,5068,830905,ARI,2,PUNT,1,1,59,1,6,2,0,1,0,6,1,-2,5,1,0,0,4,INT
118071,5068,830911,DET,3,INT,1,0,12,76,1,0,0,0,0,0,0,-10,1,0,0,0,-10,FUM
118072,5068,830912,ARI,3,FUM,1,1,54,34,3,2,0,0,1,9,3,0,0,0,0,0,9,PUNT
118073,5068,830916,DET,4,PUNT,1,5,38,20,10,5,1,2,0,15,5,28,4,3,0,0,43,FG
118074,5068,830927,ARI,4,KOFF,2,0,57,16,3,0,0,0,0,2,1,0,2,0,0,0,2,PUNT
118075,5068,830931,DET,5,PUNT,2,0,47,49,2,2,0,1,0,4,1,47,1,1,0,0,51,TD
118076,5068,830935,ARI,5,KOFF,2,2,36,22,4,1,0,1,0,0,0,11,4,3,0,0,11,PUNT
118077,5068,830940,DET,6,PUNT,2,6,9,5,9,7,1,3,1,20,5,65,4,4,10,0,95,TD
118078,5068,830953,ARI,6,KOFF,2,1,58,25,6,1,0,1,0,3,2,8,4,1,0,0,11,PUNT
118079,5068,830960,ARI,7,PUNT,2,0,21,92,4,1,0,0,0,7,1,-1,2,0,0,0,6,FG
118080,5068,830965,DET,7,KOFF,2,1,4,25,6,2,0,1,0,0,0,17,6,2,5,5,17,PUNT
118081,5068,830974,ARI,8,PUNT,2,0,15,18,1,1,0,0,0,5,1,0,0,0,0,0,5,ENDQ
118082,5068,830976,ARI,9,KOFF,3,1,33,32,3,0,0,0,0,0,0,-3,3,1,0,0,-3,PUNT
118083,5068,830980,DET,8,PUNT,3,2,43,31,3,0,0,0,0,6,1,7,2,1,0,10,3,PUNT
118084,5068,830985,ARI,10,PUNT,3,0,56,24,3,0,0,0,0,3,1,0,2,0,0,0,3,PUNT
118085,5068,830989,DET,9,PUNT,3,2,36,20,3,0,0,0,0,2,2,12,1,1,0,9,5,PUNT
118086,5068,830994,ARI,11,PUNT,3,2,34,34,8,3,1,1,0,21,2,21,5,2,0,0,42,FG
118087,5068,831003,DET,10,KOFF,3,4,51,18,10,5,0,4,0,10,3,77,7,5,0,5,82,TD
118088,5068,831016,ARI,12,KOFF,4,3,38,26,10,3,1,1,0,17,3,51,6,3,0,10,58,FG
118089,5068,831029,DET,11,KOFF,4,2,17,29,3,1,0,0,0,4,2,3,1,1,0,0,7,PUNT
118090,5068,831033,ARI,13,PUNT,4,2,55,30,7,6,0,4,0,0,0,70,7,7,5,5,70,TD
118091,5068,831044,DET,12,KOFF,4,3,26,17,8,6,1,1,0,26,6,6,2,1,0,0,32,PUNT
118092,5068,831053,ARI,14,PUNT,4,1,48,40,10,6,1,3,0,22,3,33,6,5,5,0,60,TD
118093,5068,831065,DET,13,KOFF,4,0,43,25,4,1,0,1,0,0,0,12,4,1,0,0,12,PUNT
118094,5068,831071,ARI,15,KOFF,5,2,43,25,7,3,0,2,0,5,2,60,4,2,0,0,65,FG
118095,5068,831079,DET,14,KOFF,5,3,29,25,8,4,1,2,0,16,3,44,4,2,0,0,60,FG
118096,5068,831088,ARI,16,KOFF,5,2,49,25,9,4,0,2,0,8,2,21,7,3,0,0,29,PUNT
118097,5068,831098,DET,15,PUNT,5,1,14,5,6,2,0,1,0,0,0,10,6,2,0,5,5,DWNS
118098,5069,831106,DAL,1,KOFF,1,2,47,25,6,2,0,2,0,7,2,22,4,2,0,0,29,PUNT
118099,5069,831113,NYG,1,PUNT,1,4,7,9,7,6,2,2,0,64,3,24,4,4,2,0,91,TD
118100,5069,831122,DAL,2,KOFF,1,4,47,25,11,7,0,4,0,9,3,76,8,6,0,10,75,TD
118101,5069,831135,NYG,2,KOFF,1,3,1,25,6,4,1,1,0,12,2,28,4,2,0,10,40,PUNT
118102,5069,831142,DAL,3,PUNT,1,4,59,7,9,6,0,5,0,8,3,95,6,6,0,10,93,TD
118103,5069,831154,NYG,3,KOFF,2,2,23,25,4,1,0,1,0,3,1,19,3,2,0,5,17,PUNT
118104,5069,831160,DAL,4,PUNT,2,6,43,17,13,9,2,3,0,25,5,63,8,6,10,15,83,TD
118105,5069,831179,NYG,4,KOFF,2,1,13,25,8,5,0,2,0,0,0,31,8,5,0,0,31,DWNS
118106,5069,831188,NYG,5,KOFF,3,4,1,15,11,4,1,2,0,14,3,61,7,3,0,0,75,FG
118107,5069,831200,DAL,5,KOFF,3,1,11,25,3,3,0,2,0,5,1,70,2,2,0,0,75,TD
118108,5069,831205,NYG,6,KOFF,3,4,35,25,9,6,0,3,0,12,3,52,6,4,0,0,64,DWNS
118109,5069,831214,DAL,6,DWNS,3,3,59,11,7,5,2,1,0,22,5,67,2,2,0,0,89,TD
118110,5069,831223,NYG,7,KOFF,3,2,37,13,6,2,1,0,0,11,1,20,5,3,0,10,21,PUNT
118111,5069,831231,DAL,7,PUNT,4,2,53,34,5,2,0,1,0,10,3,12,2,1,0,0,22,PUNT
118112,5069,831237,NYG,8,PUNT,4,2,51,10,5,1,0,1,0,0,0,22,5,4,0,10,12,PUNT
118113,5069,831244,DAL,8,PUNT,4,2,39,38,3,0,0,0,0,5,3,0,0,0,0,10,-5,PUNT
118114,5069,831249,NYG,9,PUNT,4,2,25,25,6,6,3,3,0,30,3,45,3,3,0,0,75,TD
118115,5069,831257,DAL,9,KOFF,4,1,3,16,3,0,0,0,0,0,3,0,0,0,0,0,0,PUNT
118116,5069,831261,NYG,10,PUNT,4,0,29,39,5,3,0,1,0,5,1,17,4,3,0,0,22,FUM
118117,5069,831266,DAL,10,FUM,4,1,17,38,2,0,0,0,1,-2,2,0,0,0,0,0,-2,ENDQ
118118,5070,831269,TB,1,KOFF,1,1,32,24,3,0,0,0,0,3,1,3,2,1,0,0,6,PUNT
118119,5070,831273,SF,1,PUNT,1,2,20,67,6,2,0,1,0,6,2,26,3,2,0,10,22,FG
118120,5070,831281,TB,2,KOFF,1,3,36,18,8,1,1,0,1,18,4,0,4,0,21,5,34,PUNT
118121,5070,831293,SF,2,PUNT,1,2,31,9,4,3,1,0,0,11,2,9,2,2,0,0,20,PUNT
118122,5070,831298,TB,3,PUNT,1,8,10,17,16,6,1,4,0,14,6,63,10,7,15,20,74,FUM
118123,5070,831315,SF,3,FUM,2,3,10,8,6,1,0,1,1,-1,3,15,3,2,0,10,4,INT
118124,5070,831323,SF,4,KOFF,2,5,46,25,11,2,0,1,2,11,5,47,5,4,14,15,57,FG
118125,5070,831338,TB,4,KOFF,2,0,6,25,1,0,0,0,0,0,0,0,1,0,0,0,0,INT
118126,5070,831339,SF,5,INT,2,2,39,71,6,3,0,1,0,9,2,-5,4,3,0,0,4,FUM
118127,5070,831345,TB,5,FUM,2,0,10,29,1,0,0,0,1,-1,1,0,0,0,0,0,-1,ENDQ
118128,5070,831347,SF,6,KOFF,3,2,29,25,7,2,0,2,1,3,3,49,4,2,23,0,75,TD
118129,5070,831357,TB,6,KOFF,3,0,47,25,2,0,0,0,0,0,1,0,1,0,0,0,-3,INT
118130,5070,831361,TB,7,KOFF,3,6,1,25,11,8,2,3,0,26,4,49,7,5,0,0,75,TD
118131,5070,831374,SF,7,KOFF,3,3,5,25,8,4,3,0,0,36,5,0,2,0,0,0,36,MFG
118132,5070,831382,TB,8,MFG,3,4,34,47,9,5,2,1,0,33,5,26,4,2,2,10,51,DWNS
118133,5070,831392,SF,8,DWNS,4,4,43,2,6,3,1,0,0,5,5,6,1,1,0,9,2,PUNT
118134,5070,831401,TB,9,PUNT,4,3,34,59,6,3,1,0,1,28,4,-5,1,0,5,0,28,FG
118135,5070,831409,SF,9,KOFF,4,2,30,25,8,3,1,1,0,20,3,11,4,2,15,0,46,FG
118136,5070,831418,TB,10,KOFF,4,0,16,21,1,0,0,0,0,0,0,0,1,0,0,0,0,INT
118137,5070,831421,TB,11,KOFF,4,1,10,25,8,4,0,2,0,0,0,38,8,5,0,0,38,DWNS
118138,5070,831429,SF,10,DWNS,4,0,51,37,2,0,0,0,0,-2,2,0,0,0,0,0,-2,ENDQ
118139,5071,831432,NE,1,KOFF,1,3,6,20,6,2,1,0,0,15,5,0,1,0,0,0,15,PUNT
118140,5071,831439,PIT,1,PUNT,1,4,0,12,7,4,1,1,0,11,4,16,3,2,0,0,27,PUNT
118141,5071,831447,NE,2,PUNT,1,3,8,18,7,5,0,4,0,15,2,77,5,4,0,10,82,TD
118142,5071,831457,PIT,2,KOFF,1,2,30,25,3,0,0,0,0,2,1,12,2,2,0,15,-1,PUNT
118143,5071,831463,NE,3,PUNT,1,5,24,38,12,8,3,1,0,9,4,46,7,5,0,0,55,FG
118144,5071,831476,PIT,3,KOFF,2,1,52,21,3,1,0,0,0,0,1,9,2,2,0,0,9,PUNT
118145,5071,831480,NE,4,PUNT,2,0,48,35,3,0,0,0,0,3,1,0,2,0,0,0,3,PUNT
118146,5071,831484,PIT,4,PUNT,2,2,14,30,3,2,0,0,0,5,3,0,0,0,5,0,10,PUNT
118147,5071,831489,NE,5,PUNT,2,3,9,20,6,5,0,4,0,7,2,73,4,4,0,0,80,TD
118148,5071,831497,PIT,5,KOFF,2,1,52,25,7,1,0,1,0,0,0,28,7,3,0,0,28,DWNS
118149,5071,831504,NE,6,DWNS,2,1,40,47,8,4,0,2,0,0,0,30,7,4,0,0,30,FG
118150,5071,831513,PIT,6,KOFF,2,0,17,25,1,1,0,0,0,4,1,0,0,0,0,0,4,ENDQ
118151,5071,831515,PIT,7,KOFF,3,4,43,25,11,6,0,2,1,10,2,57,8,3,5,0,74,FG
118152,5071,831528,NE,7,KOFF,3,2,12,25,4,2,0,2,0,-3,1,78,3,3,0,0,75,TD
118153,5071,831534,PIT,8,KOFF,3,2,45,28,5,2,0,1,0,0,0,30,5,2,5,10,25,PUNT
118154,5071,831542,NE,8,PUNT,3,5,7,10,9,5,2,1,0,27,4,46,4,3,0,0,73,FG
118155,5071,831552,PIT,9,KOFF,3,2,47,25,8,4,0,2,0,0,0,30,8,5,0,0,30,DWNS
118156,5071,831560,NE,9,DWNS,4,5,48,45,13,6,2,1,0,29,7,16,5,2,9,20,34,FG
118157,5071,831576,PIT,10,KOFF,4,2,21,25,5,1,0,1,1,0,1,29,4,2,10,5,34,INT
118158,5071,831583,NE,10,INT,4,2,11,20,3,0,0,0,0,-3,3,0,0,0,0,0,-3,PUNT
118159,5071,831587,PIT,11,PUNT,4,2,6,45,9,3,0,2,0,0,0,65,9,6,0,15,50,ENDQ
118160,5072,831597,HOU,1,KOFF,1,2,21,25,5,2,1,0,0,13,2,-6,3,0,0,5,2,PUNT
118161,5072,831604,NO,1,PUNT,1,3,31,14,5,2,0,1,0,0,0,41,5,5,0,0,41,PUNT
118162,5072,831610,HOU,2,PUNT,1,2,11,10,4,1,1,0,0,11,1,2,3,1,0,0,13,PUNT
118163,5072,831615,NO,2,PUNT,1,4,2,51,8,4,0,2,0,13,3,25,5,3,0,0,38,INT
118164,5072,831623,HOU,3,INT,1,3,42,6,7,4,1,2,0,29,3,75,4,3,0,10,94,TD
118165,5072,831633,NO,3,KOFF,2,4,51,21,11,5,0,3,0,8,3,57,7,4,0,0,65,FG
118166,5072,831645,HOU,4,KOFF,2,7,35,25,16,9,1,4,0,32,7,48,9,8,10,15,75,TD
118167,5072,831667,NO,4,KOFF,2,1,47,25,7,3,0,3,0,0,0,37,6,4,0,0,37,MFG
118168,5072,831675,NO,5,KOFF,3,2,9,17,5,3,1,2,0,31,2,52,3,2,0,0,83,TD
118169,5072,831682,HOU,5,KOFF,3,4,31,25,9,5,2,2,0,39,5,31,4,2,5,0,75,TD
118170,5072,831694,NO,6,KOFF,3,5,41,25,11,9,2,4,0,20,4,55,7,6,15,0,75,TD
118171,5072,831707,HOU,6,KOFF,3,0,51,16,3,0,0,0,0,2,1,0,2,0,0,15,2,INT
118172,5072,831710,NO,7,INT,3,1,53,51,4,3,1,1,0,26,1,21,3,3,0,0,49,TD
118173,5072,831716,HOU,7,KOFF,4,4,8,25,6,2,1,1,0,18,1,0,5,3,0,0,18,PUNT
118174,5072,831724,NO,8,PUNT,4,3,3,28,4,1,1,0,0,33,3,-8,1,0,0,10,15,PUNT
118175,5072,831730,HOU,8,PUNT,4,4,15,4,7,3,1,1,0,36,3,9,4,1,0,4,41,PUNT
118176,5072,831739,NO,9,PUNT,4,2,39,7,8,4,1,1,0,17,5,47,2,2,0,0,64,FG
118177,5072,831748,HOU,9,KOFF,4,0,13,25,2,2,0,2,0,0,0,75,2,2,8,0,75,TD
118178,5072,831753,NO,10,KOFF,4,0,37,25,6,3,0,2,0,0,0,35,5,3,0,0,35,FG
118179,5073,831760,OAK,1,KOFF,1,6,8,28,10,8,1,4,0,19,5,58,5,5,0,5,72,TD
118180,5073,831773,DEN,1,KOFF,1,2,17,25,3,0,0,0,0,-5,1,11,2,2,0,0,6,PUNT
118181,5073,831777,OAK,2,PUNT,1,4,6,14,7,2,0,2,0,3,1,41,6,5,0,10,34,PUNT
118182,5073,831786,DEN,2,PUNT,1,5,24,20,8,2,0,2,0,9,4,38,4,2,10,20,37,PUNT
118183,5073,831798,OAK,3,PUNT,2,8,35,5,13,9,3,2,0,19,7,79,6,6,0,3,95,TD
118184,5073,831815,DEN,3,KOFF,2,3,30,25,11,6,1,1,1,11,2,23,8,4,15,20,29,MFG
118185,5073,831831,DEN,4,KOFF,3,5,40,25,12,6,1,2,0,27,6,40,5,3,0,0,67,FG
118186,5073,831844,OAK,4,KOFF,3,2,17,25,3,1,0,0,0,3,2,6,1,1,0,0,9,PUNT
118187,5073,831848,DEN,5,PUNT,3,3,21,24,10,6,2,1,0,50,6,4,3,1,14,0,68,FG
118188,5073,831859,OAK,5,KOFF,3,2,24,25,6,3,1,0,0,18,2,8,4,1,0,0,26,PUNT
118189,5073,831866,DEN,6,PUNT,3,1,27,5,3,1,0,0,0,-2,1,9,2,1,0,0,7,PUNT
118190,5073,831870,OAK,6,PUNT,4,2,59,40,5,3,1,2,0,3,2,57,3,3,0,0,60,TD
118191,5073,831877,DEN,7,KOFF,4,3,13,25,6,2,0,1,0,4,2,50,3,2,0,0,54,FG
118192,5073,831884,OAK,7,KOFF,4,4,1,70,6,3,1,0,0,19,5,0,0,0,0,0,19,FG
118193,5073,831891,DEN,8,KOFF,4,2,23,25,8,6,0,4,0,1,1,74,7,6,0,0,75,TD
118194,5073,831901,OAK,8,KOFF,4,2,15,25,5,2,1,1,0,14,4,10,1,1,0,0,24,ENDQ
118195,5074,831907,TB,1,KOFF,1,1,59,25,4,1,0,1,0,-4,1,22,3,2,0,0,18,PUNT
