uid,pid,qb,sk,value,ydsl
25227,829265,AR-1300,RR-0850,1,-10
25228,829273,MT-1800,BM-0345,1,-6
25229,829277,AR-1300,LF-0450,1,-7
25230,829317,AR-1300,AH-3050,1,-8
25231,829322,MT-1800,ZS-0075,1,-1
25232,829335,MT-1800,KK-0750,1,-2
25233,829351,AR-1300,LF-0450,1,-7
25234,829355,MT-1800,KC-1225,0.5,0
25235,829355,MT-1800,PS-0550,0.5,0
25236,829358,AR-1300,AL-1200,1,-5
25237,829421,MT-1800,PS-0550,1,-11
25238,829425,MR-2500,AB-0650,1,-8
25239,829493,MR-2500,DH-4650,1,-11
25240,829504,KC-2350,GJ-0250,1,-1
25241,829520,MR-2500,EG-0900,1,-5
25242,829569,MR-2500,LJ-1700,1,-8
25243,829631,LJ-0150,JL-0775,0.5,-1
25244,829631,LJ-0150,SE-0150,0.5,-1
25245,829657,RF-0500,PM-0500,1,0
25246,829672,RF-0500,PO-0175,1,-5
25247,829721,JR-3250,MJ-2700,1,-6
25248,829745,JA-1087,JJ-1675,1,-12
25249,829772,SD-0175,JH-5900,1,-4
25250,829785,SD-0175,JP-4150,1,-5
25251,829789,SD-0175,SL-0350,1,-6
25252,829824,SD-0175,JH-5900,0.5,-5
25253,829824,SD-0175,LA-0200,0.5,-5
25254,830006,GM-1350,EO-0075,1,-3
25255,830061,CN-0500,CM-0900,1,-6
25256,830071,JG-1850,JB-4975,1,-3
25257,830108,CN-0500,DF-1481,1,-10
25258,830133,CN-0500,DF-1481,1,-7
25259,830260,BM-0650,CW-0100,1,-15
25260,830299,MM-0912,MB-5100,1,-9
25261,830307,MM-0912,MG-0287,1,-7
25262,830311,BM-0650,CW-0100,1,-2
25263,830322,BM-0650,LR-0600,1,-8
25264,830327,MM-0912,LO-0050,1,-10
25265,830385,BM-0650,SF-0125,1,-9
25266,830386,BM-0650,CW-0100,0.5,-7
25267,830386,BM-0650,LR-0600,0.5,-7
25268,830392,MM-0912,MG-0287,1,-6
25269,830470,CW-1425,CM-2125,1,0
25270,830481,CK-0250,TJ-1025,1,-10
25271,830605,RW-3850,CD-2200,1,-10
25272,830610,RW-3850,SH-1393,1,-9
25273,830618,AD-0100,QJ-0150,1,-6
25274,830675,RW-3850,DK-0750,1,-9
25275,830676,RW-3850,SH-1393,1,-7
25276,830695,AD-0100,QJ-0150,1,-8
25277,830709,AD-0100,JC-3350,1,-2
25278,830733,AD-0100,RG-1675,1,0
25279,830738,PR-0300,BB-0675,0.5,-6
25280,830738,PR-0300,DA-2050,0.5,-6
25281,830744,JB-5725,MI-0150,1,-9
25282,830780,PR-0300,JH-5500,1,-3
25283,830828,PR-0300,AM-3025,1,-7
25284,830830,PR-0300,KT-0950,1,-7
25285,830834,JB-5725,JB-4450,1,-8
25286,830909,KM-3500,DK-0465,1,-7
25287,830911,MS-4100,CJ-2050,1,-10
25288,830937,KM-3500,DK-0465,1,-11
25289,830961,KM-3500,DK-0465,1,-1
25290,830977,KM-3500,JT-0687,1,-11
25291,830982,MS-4100,TS-3500,1,-5
25292,831092,KM-3500,CJ-2175,1,-3
25293,831100,MS-4100,TS-3500,1,-9
25294,831213,EM-0200,DL-0450,0.5,-4
25295,831213,EM-0200,LV-0050,0.5,-4
25296,831305,JW-5650,DF-1350,1,-6
25297,831342,JG-0650,SB-0225,1,-8
25298,831366,JW-5650,NB-0350,1,-9
25299,831406,JW-5650,AA-0562,1,-5
25300,831523,BR-1100,DW-4150,1,0
25301,831549,TB-2300,BD-1200,1,-7
25302,831602,DW-1725,CJ-2400,1,-6
25303,831612,DW-1725,ST-1500,0.5,-4
25304,831612,DW-1725,MB-3875,0.5,-4
25305,831719,DW-1725,AA-0552,1,-6
25306,831721,DW-1725,TH-1350,1,-6
25307,831727,DB-3800,WM-0550,1,-8
25308,831735,DW-1725,PW-0850,1,-1
25309,831737,DW-1725,TH-1350,1,-11
25310,831796,JF-1900,BM-0750,1,-10
25311,831841,JF-1900,BM-0750,1,-2
25312,831881,JF-1900,CF-0362,1,-7
25313,831955,JW-5650,BB-3875,1,0
25314,831993,CN-0500,SB-0225,1,-8
25315,832005,CN-0500,SB-0225,1,-7
25316,832006,CN-0500,SB-0225,1,-5
25317,832045,JW-5650,MA-0300,0.5,-10
25318,832045,JW-5650,JC-1450,0.5,-10
25319,832047,JW-5650,DP-1450,1,-9
25320,832113,LJ-0150,CM-0250,1,-7
25321,832124,KM-3500,MJ-2700,1,-6
25322,832158,LJ-0150,CP-1300,1,-7
25323,832164,KM-3500,PM-0500,1,-7
25324,832220,KM-3500,BC-0500,1,-7
25325,832256,JA-1087,MG-0925,0.5,-7
25326,832256,JA-1087,LC-0250,0.5,-7
25327,832335,JA-1087,OP-0150,1,-5
25328,832346,EM-0200,HP-0050,0.5,-9
25329,832346,EM-0200,LA-0200,0.5,-9
25330,832361,JA-1087,MG-0925,0.5,-4
25331,832361,JA-1087,OX-0100,0.5,-4
25332,832458,DP-2037,RK-0500,1,-8
25333,832467,CK-0250,TC-2950,1,-13
25334,832584,JB-5725,IM-0025,1,-7
25335,832635,MM-0912,DA-2050,1,-13
25336,832643,MM-0912,DA-2050,1,-7
25337,832675,MM-0912,GS-1250,1,-8
25338,832698,MM-0912,DL-0925,1,-7
25339,832702,JB-5725,HL-0050,1,0
25340,832739,GM-1350,ZC-0300,1,-8
25341,832769,GM-1350,CO-0850,1,-9
25342,832775,DW-1725,MJ-0015,0.5,-8
25343,832775,DW-1725,LJ-0312,0.5,-8
25344,832784,DW-1725,DH-2150,1,-8
25345,832793,GM-1350,WM-0550,1,-9
25346,832799,DW-1725,RH-1150,1,0
25347,832848,GM-1350,WM-0550,1,-9
25348,832925,PR-0300,RO-0450,0.5,-6
25349,832925,PR-0300,AR-1115,0.5,-6
25350,833075,KC-2350,KC-1225,1,-7
25351,833156,AR-1300,DH-4650,1,-10
25352,833182,AR-1300,LJ-1700,1,-8
25353,833237,RF-0500,AB-4000,1,-5
25354,833262,TB-2300,JJ-1650,1,-7
25355,833290,TB-2300,VB-0096,1,-2
25356,833300,RF-0500,DS-1850,1,-7
25357,833317,RF-0500,AB-4000,1,-4
25358,833319,RF-0500,CW-3375,0.5,-7
25359,833319,RF-0500,JC-3550,0.5,-7
25360,833341,JR-3250,CW-3375,1,-8
25361,833349,JR-3250,MB-1900,1,-13
25362,833353,JR-3250,JS-3250,1,0
25363,833374,AD-0100,AA-0562,1,-8
25364,833482,AD-0100,RB-2212,1,-5
25365,833484,AD-0100,DB-5475,1,-6
25366,833497,AD-0100,ST-0525,1,-1
25367,833549,BR-1100,BJ-0250,1,-7
25368,833554,RW-3850,TW-1137,1,-8
25369,833566,RW-3850,ST-1150,0.5,-6
25370,833566,RW-3850,MB-0650,0.5,-6
25371,833567,RW-3850,ST-1150,1,-7
25372,833607,RW-3850,ST-1150,1,-5
25373,833796,DC-0725,CJ-2168,1,-6
25374,833816,PM-0025,BM-0750,1,-7
25375,833845,PM-0025,PH-0050,0.5,-3
25376,833845,PM-0025,BM-0750,0.5,-3
25377,833863,DC-0725,KF-0450,1,-7
25378,833864,DC-0725,TK-0825,1,-7
25379,833916,JF-1900,KM-0050,1,-9
25380,834002,JF-1900,NW-0400,1,-1
25381,834072,JG-1850,CJ-2400,1,-8
25382,834107,JG-1850,TH-1350,1,-2
25383,834155,TB-2650,CM-0900,1,-5
25384,834156,TB-2650,MB-3650,1,-11
25385,834197,JG-1850,MD-0131,1,-8
25386,834253,CW-1425,GJ-0250,1,-8
25387,834335,CW-1425,AC-1500,1,-6
25388,834339,MR-2500,AS-0600,1,-10
25389,834371,CW-1425,VB-0075,1,-4
25390,834392,TS-1450,MG-0287,1,-7
25391,834418,TS-1450,MB-5100,1,-10
25392,834423,BM-0650,TB-0625,1,-10
25393,834466,LF-0025,MG-0287,1,-9
25394,834472,BM-0650,NH-1225,1,-2
25395,834476,LF-0025,MG-0287,1,-6
25396,834532,BM-0650,BK-0150,0.5,-8
25397,834532,BM-0650,BC-0625,0.5,-8
