pid,qtr,min,sec,dwn,yds,pts,player,type
829302,2,13,15,1,8,7,JG-2900,REC
829431,1,11,57,2,23,7,AT-0350,REC
829441,1,8,28,2,19,7,DC-3550,RUSH
829482,2,4,42,2,1,7,KC-2350,RUSH
829530,3,0,34,1,7,7,DC-3550,RUSH
829548,4,9,25,4,20,6,CR-0862,REC
829573,4,1,9,1,2,6,JJ-4700,REC
829586,1,10,38,3,1,7,MI-0100,RUSH
829593,1,8,46,1,47,7,MB-4075,REC
829604,1,4,28,3,83,7,MB-4075,REC
829620,2,13,56,2,33,7,WS-0925,REC
829637,2,6,56,3,5,7,MB-3325,REC
829653,2,1,46,1,2,7,MI-0100,RUSH
829663,2,0,18,1,6,7,PW-1150,REC
829684,3,7,58,2,1,7,PR-0125,REC
829716,4,9,30,4,3,7,MA-1050,REC
829750,1,10,42,1,17,6,CM-3250,INT
829837,3,7,6,3,9,8,LB-0250,REC
829865,4,10,27,1,3,7,JA-1087,RUSH
829883,4,3,7,3,38,7,JB-6950,REC
829904,1,13,36,3,68,7,SW-0450,REC
829925,1,5,31,3,35,7,DC-1418,REC
829933,1,2,45,1,49,7,SW-0450,REC
830002,3,2,28,1,1,7,DW-3125,RUSH
830019,4,11,2,2,3,7,SW-0450,REC
830028,4,7,40,2,15,6,DW-2275,REC
830049,4,2,0,1,21,7,CC-3950,REC
830103,2,12,50,2,5,7,MB-3862,RUSH
830158,3,8,31,1,8,7,CM-1225,RUSH
830175,3,2,54,3,1,7,MB-3862,RUSH
830195,4,13,15,2,2,7,CM-1225,RUSH
830211,4,6,42,2,5,7,TH-1550,REC
830229,4,2,0,1,1,7,AA-0557,RUSH
830245,1,10,18,1,4,6,DH-3137,RUSH
830287,2,9,42,2,1,7,DH-2450,RUSH
830351,3,2,13,1,3,7,DN-1225,REC
830354,3,2,10,1,75,7,DH-2450,REC
830367,4,12,39,1,11,7,DW-0500,REC
830376,4,9,9,1,7,7,DW-0500,REC
830394,4,3,11,1,38,7,MB-5250,INT
830410,1,11,8,3,48,7,VD-0100,REC
830446,2,10,7,2,69,7,TM-2275,REC
830462,2,4,27,3,51,7,DJ-0200,REC
830497,3,7,54,3,5,7,AJ-0430,REC
830507,3,5,15,3,53,7,DJ-0200,REC
830522,4,15,0,1,2,8,AJ-0430,RUSH
830570,4,0,12,2,4,7,TQ-0100,REC
830628,2,6,39,1,1,7,CC-0750,RUSH
830633,2,5,20,1,33,7,JR-3280,REC
830649,2,0,59,3,10,7,CC-0750,REC
830655,2,0,16,2,55,7,JR-3280,REC
830692,4,15,0,1,44,7,TL-1025,REC
830757,1,3,0,2,1,7,AE-0550,REC
830773,2,10,6,3,4,6,TH-1850,REC
830782,2,6,6,3,28,7,KA-0650,REC
830819,3,8,38,1,55,7,AE-0550,REC
830823,3,7,51,1,63,7,MM-0050,RUSH
830869,4,0,48,2,19,8,TH-1850,REC
830887,5,5,5,1,7,6,AE-0550,RUSH
830932,2,12,34,2,47,7,DA-0900,REC
830950,2,3,45,1,9,7,KG-0650,REC
831013,4,14,56,3,23,7,TH-1875,REC
831041,4,6,4,1,27,7,DJ-1325,REC
831062,4,0,47,1,4,8,LF-0200,REC
831119,1,8,11,1,1,7,EE-0400,REC
831132,1,3,25,2,28,7,BJ-0950,REC
831151,2,10,23,1,4,7,JW-6000,REC
831176,2,1,19,3,21,7,AC-2350,REC
831202,3,9,53,2,25,7,RC-1500,REC
831220,3,1,18,2,10,7,EE-0250,RUSH
831254,4,2,54,1,2,7,WG-0050,RUSH
831320,2,8,47,2,15,7,VH-0050,INT
831354,3,12,38,2,39,7,RJ-0450,REC
831358,3,11,53,2,31,7,RS-1000,INT
831371,3,5,50,1,10,7,CG-1425,REC
831418,4,2,10,1,25,8,AW-1850,INT
831454,1,4,55,1,20,7,JG-2450,REC
831494,2,3,54,1,25,7,PD-0800,REC
831531,3,8,13,3,58,7,PD-0800,REC
831630,2,14,19,4,21,7,DW-1725,RUSH
831664,2,1,51,3,2,7,DH-3950,REC
831679,3,12,57,2,30,7,LM-1850,RUSH
831691,3,8,24,1,16,7,DH-3950,REC
831704,3,2,43,3,9,7,TH-1625,REC
831713,4,15,0,2,14,7,TS-2425,REC
831749,4,0,43,1,37,7,KS-2350,REC
831770,1,8,56,3,8,7,TW-2875,REC
831812,2,3,34,1,2,7,JJ-0587,RUSH
831874,4,11,57,1,4,7,JJ-0587,RUSH
831898,4,2,18,2,1,7,ES-0200,REC
831979,2,1,25,1,20,7,CG-1425,REC
832015,3,4,25,1,16,7,PB-0125,RUSH
832093,1,8,12,1,27,7,MA-1050,REC
832145,2,3,53,1,1,7,HH-0350,REC
832207,4,12,54,1,1,8,DJ-1325,RUSH
832252,1,12,45,2,27,7,SB-0212,RUSH
832273,1,3,49,2,6,7,JA-1087,RUSH
832291,2,13,30,1,14,7,DS-2177,RUSH
832306,2,7,36,1,14,7,IM-0125,REC
832375,4,12,3,2,4,7,TJ-2350,REC
832392,4,5,56,2,1,7,FG-0200,RUSH
832453,2,14,18,2,1,7,AP-0700,RUSH
832475,2,6,18,2,51,7,DS-3031,REC
832494,2,0,13,1,2,7,JW-6000,REC
832508,3,10,4,2,10,7,AC-2350,REC
832522,3,4,37,2,9,7,PR-0150,REC
832554,4,5,11,3,2,7,EE-0250,RUSH
832568,4,2,20,2,1,7,TM-2275,REC
832589,1,8,57,2,3,7,EE-0050,REC
832610,2,15,0,1,1,7,DQ-0100,REC
832627,2,8,5,2,12,6,PC-0050,REC
832663,3,11,34,1,1,7,DH-2450,RUSH
832711,4,4,42,1,4,6,TH-1850,REC
832852,4,11,41,4,2,7,DW-1725,RUSH
832889,4,0,36,2,4,6,DC-1418,REC
832910,1,8,2,3,1,7,AE-0550,RUSH
832920,1,4,20,2,36,6,KJ-0587,REC
833022,4,7,28,1,31,7,KG-0650,REC
833047,1,12,59,1,15,7,JW-3650,REC
833069,1,3,23,2,12,7,GA-0250,REC
833079,2,14,20,1,2,7,AJ-1143,RUSH
833083,2,14,12,2,75,7,DC-3550,RUSH
833148,3,9,19,3,45,6,SD-0537,REC
833227,1,7,49,2,1,7,SM-2625,RUSH
833272,2,1,24,1,20,6,AB-3500,REC
833314,3,2,20,1,1,7,TB-2300,RUSH
833332,4,10,56,3,54,7,SG-0650,INT
833338,4,9,43,1,69,7,JC-3550,INT
833360,4,2,15,3,10,6,JW-2550,REC
833381,1,11,21,1,38,7,MG-1050,REC
833392,1,6,44,2,1,7,TE-0300,REC
833402,1,2,42,2,39,7,RM-5050,REC
833427,2,10,11,1,2,7,JW-4975,RUSH
833476,3,12,15,2,2,7,DS-0150,REC
833505,4,15,0,2,4,7,JW-4975,RUSH
833541,4,0,56,4,66,7,JR-3280,REC
833584,2,14,47,1,1,7,JC-4075,RUSH
833599,2,8,45,1,14,7,WD-0550,REC
833644,3,9,54,1,12,7,WD-0550,REC
833661,3,3,4,3,37,7,RP-0550,RUSH
833675,4,11,23,1,8,6,VM-0250,REC
833686,4,7,22,3,28,7,DM-2275,REC
833696,4,5,37,1,3,7,VM-0250,REC
833738,1,4,50,3,4,7,TW-2875,REC
833755,2,15,0,1,44,7,DR-2225,REC
833779,2,5,57,3,42,7,MH-0875,REC
833793,2,1,46,2,27,7,TK-0150,REC
833800,2,0,47,1,39,7,DR-2225,REC
833982,3,1,17,3,1,7,DM-2787,RUSH
834034,4,0,37,1,7,8,ES-0200,REC
834151,3,5,43,1,4,7,TG-1950,RUSH
834162,3,1,3,2,2,7,BC-2325,REC
834181,4,8,39,1,1,7,JG-1850,RUSH
834272,2,5,4,3,34,7,CR-0862,REC
834301,3,13,31,2,4,7,JJ-4700,REC
834321,3,5,3,4,4,6,NA-0050,REC
834354,4,3,16,1,1,8,CW-1425,RUSH
834363,4,2,20,4,54,7,JJ-4700,REC
834427,2,10,23,1,19,7,NC-0175,RUSH
834493,3,3,43,1,89,7,OB-0075,REC
